DATE,EUR_weighted_return,GBP_weighted_return,JPY_weighted_return,AUD_weighted_return,NZD_weighted_return,CAD_weighted_return,CHF_weighted_return,NOK_weighted_return,SEK_weighted_return,total_return,cumulative_return
2017-01,0.0,0.0,0.034492220399840255,0.0,0.0,0.0,0.0,-0.0,-0.0,0.034492220399840255,100.0
2017-02,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.017889902792337428,0.0,0.017889902792337428,101.78899027923374
2017-03,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.023777395188683437,-0.0,0.023777395188683437,104.20926732696014
2017-04,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.006219855305466295,-0.0,-0.0,0.006219855305466295,104.85743389122248
2017-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.026219260177722317,-0.0,-0.0,0.026219260177722317,107.60671823198476
2017-06,-0.0,-0.0,-0.015665598861007372,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.015665598861007372,105.92099454941304
2017-07,-0.0,-0.0,0.017873565824679395,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.017873565824679395,107.81418041770748
2017-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012488242948990624,-0.0,-0.012488242948990624,106.46777073930484
2017-09,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.02580895559881907,0.0,0.02580895559881907,109.2155927070208
2017-10,0.0,0.0,-0.011579178950147347,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.011579178950147347,107.9509658149198
2017-11,-0.0,-0.0,0.008452925756431428,0.0,-0.0,-0.0,0.0,0.0,0.0,0.008452925756431428,108.86346731428839
2017-12,-0.0,0.0,-0.00316812353019493,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.00316812353019493,108.51857440191138
2018-01,-0.0,-0.0,0.030501442505838798,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.030501442505838798,111.82854745984686
2018-02,0.0,0.03139612558450246,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.03139612558450246,115.33953057982872
2018-03,-0.0,-0.017116656586805494,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.017116656586805494,113.36530344401044
2018-04,0.0,0.01880245664533958,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.01880245664533958,115.49684964710221
2018-05,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0023757354432947576,0.0,-0.0,0.0023757354432947576,115.77123960639771
2018-06,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.007739981831028664,-0.0,-0.0,-0.007739981831028664,114.87517231528854
2018-07,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0021766131475311427,0.0,0.0,-0.0021766131475311427,114.62513350490218
2018-08,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.019496800165152626,0.0,-0.0,0.019496800165152626,116.85995682675119
2018-09,-0.0,-0.0,-0.02540788952900295,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.02540788952900295,113.89079195333304
2018-10,-0.0,0.0,0.004437311846998165,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.004437311846998165,114.39616091373158
