DATE,Strategy value (Cumulative_returns)
2017-01,100.0
2017-02,101.78899027923374
2017-03,104.20926732696014
2017-04,104.85743389122248
2017-05,107.60671823198476
2017-06,105.92099454941304
2017-07,107.81418041770748
2017-08,106.46777073930484
2017-09,109.2155927070208
2017-10,107.9509658149198
2017-11,108.86346731428839
2017-12,108.51857440191138
2018-01,111.82854745984686
2018-02,115.33953057982872
2018-03,113.36530344401044
2018-04,115.49684964710221
2018-05,115.77123960639771
2018-06,114.87517231528854
2018-07,114.62513350490218
2018-08,116.85995682675119
2018-09,113.89079195333304
2018-10,114.39616091373158
